"ID";"Tipo";"Estado";"Data da solicitação";"Software/componente";"Assunto";"Autor";"Idade";"Data do fechamento"
"NEW-6170";"Nova funcionalidade";"OFF";"06/12/2012";"School (web)";"Ferramenta de impressão dos dados exibidos";"Diego";35;"09/01/2013"
"CHG-6172";"Mudança";"OFF";"06/12/2012";"Geagro";"Cadastro de várias Empresas (PF) com mesmo CPF";"Carlos Henrique";35;"09/01/2013"
"BUG-6177";"Falha/erro";"OFF";"06/12/2012";"School (desktop)";"Erro no Relatório de Notas da turma";"Gabrielle";41;"16/01/2013"
"CHG-6178";"Mudança";"ADI";"07/12/2012";"Facture-e";"CT-e Nota Técnica 2012.003 - Divulga Orientações para Utilização da SVC";"Breno";131;
"CHG-6179";"Mudança";"ADI";"07/12/2012";"Facture-e";"CT-e Nota Técnica 2012.004 - Divulga Orientações para Utilização do Evento Prévio de Emissão em Contingência (EPEC)";"Breno";131;
"CHG-6180";"Mudança";"OFF";"07/12/2012";"Facture-e";"CT-e Nota Técnica 2012.006 - ""Aplicação Cliente"" Consumo Indevido do Ambiente de Autorização";"Breno";63;"07/02/2013"
"CHG-6181";"Mudança";"OFF";"07/12/2012";"Facture-e";"CT-e Nota Técnica 2012.007 - Corrige Informações do Manual de Orientações do Contribuinte - DACTE (versão 1.0.0b)";"Breno";63;"07/02/2013"
"CHG-6182";"Mudança";"OFF";"07/12/2012";"Facture-e";"CT-e Nota Técnica 2012.008 - Orienta como Complementar Valores para Conhecimento de Transporte emitido em papel.";"Breno";63;"07/02/2013"
"REF-6183";"Refatoração";"OFF";"07/12/2012";"Facture-e";"Refatorar classe NFeProxy";"Breno";63;"07/02/2013"
"REF-6184";"Refatoração";"OFF";"07/12/2012";"Facture-e";"Refatorar método ProcOutrosNotasFiscais da classe LGNotasFiscais";"Breno";63;"07/02/2013"
"CHG-6185";"Mudança";"ACE";"07/12/2012";"School (desktop)";"Mudança do cabeçalho em atestados e declarações";"Rogério Rezende";131;
"CHG-6186";"Mudança";"OFF";"07/12/2012";"Monnae";"Opção de impressão de 02 recibos por página";"Daiane Faé";64;"08/02/2013"
"REF-6187";"Refatoração";"OFF";"07/12/2012";"Facture-e";"LGTransportadores.SelecionaTransportador não deveria estar na LGTransportadores";"Breno";69;"14/02/2013"
"BUG-6189";"Falha/erro";"OFF";"07/12/2012";"Facture-e";"Nome fantasia no DACTE de saída não está sendo impresso";"Breno";6;"13/12/2012"
"BUG-6190";"Falha/erro";"OFF";"07/12/2012";"Facture-e";"Alteração de série repetidas não emitem mensagem";"Breno";6;"13/12/2012"
"BUG-6196";"Falha/erro";"OFF";"10/12/2012";"Facture-e";"Cadastro de Séries não verificam o último número do CT-e";"Breno";4;"13/12/2012"
"CHG-6197";"Mudança";"OFF";"10/12/2012";"School (desktop)";"Declaração de Conclusão";"Rogério Rezende";30;"09/01/2013"
"CHG-6198";"Mudança";"OFF";"10/12/2012";"Facture-e";"Permitir cadastrar os destinatários NF-e e CT-e com o mesmo CNPJ";"Breno";56;"04/02/2013"
"BUG-6200";"Falha/erro";"OFF";"11/12/2012";"School (desktop)";"Erro na observação dos históricos.";"Rogério Rezende";7;"18/12/2012"
"BUG-6204";"Falha/erro";"OFF";"11/12/2012";"School (desktop)";"Falha ao finalizar as turmas";"Rogério Rezende";7;"18/12/2012"
"BUG-6206";"Falha/erro";"ADI";"12/12/2012";"Sicopri";"Nova empresa sem Inscrição Estadual";"Carlos Henrique";126;
"BUG-6207";"Falha/erro";"OFF";"12/12/2012";"Sicopri";"Inclusão de Produtos Duplicados em NF";"Carlos Henrique";33;"14/01/2013"
"NEW-6209";"Nova funcionalidade";"OFF";"12/12/2012";"Facture-e";"Alterar para todos o Motivo de Inventário";"Breno";57;"07/02/2013"
"REF-6212";"Refatoração";"ACE";"13/12/2012";"School (desktop)";"Criar módulo de Ata";"Carlos Fim";125;
"BUG-6214";"Falha/erro";"OFF";"13/12/2012";"School (desktop)";"Erro nas descrições dos tipos de evento do calendário";"Carlos Fim";34;"16/01/2013"
"BUG-6215";"Falha/erro";"OFF";"14/12/2012";"School (desktop)";"Erro ao gerar os históricos dos alunos na finalização";"Gabrielle";4;"18/12/2012"
"BUG-6217";"Falha/erro";"OFF";"14/12/2012";"School (desktop)";"Erro na Finalização ao Clonar o Ano Letivo";"Uiaciane";4;"18/12/2012"
"BUG-6219";"Falha/erro";"OFF";"14/12/2012";"School (desktop)";"Erro ao executar o sistema no Windows 8";"Carlos Fim";33;"16/01/2013"
"CHG-6223";"Mudança";"OFF";"18/12/2012";"School (desktop)";"Adequar o sistema ao censo 2012";"Carlos Fim";29;"16/01/2013"
"BUG-6226";"Falha/erro";"OFF";"18/12/2012";"School (desktop)";"Erro nos campos ""Mês e Ano Inicio do Calendário"" e ""Mês e Ano Término do Calendário"".";"Uiaciane";29;"16/01/2013"
"BUG-6227";"Falha/erro";"OFF";"18/12/2012";"School (desktop)";"Erro ao Remanejar vários Alunos.";"Uiaciane";29;"16/01/2013"
"BUG-6228";"Falha/erro";"OFF";"18/12/2012";"School (desktop)";"Não está diferenciando os cabeçalhos detalhado e simplificado";"Diego";30;"16/01/2013"
"BUG-6229";"Falha/erro";"OFF";"18/12/2012";"School (desktop)";"Erro ao usar a visualização de aluno dentro da turma, sem aluno selecionado";"Robson Pacífico";29;"16/01/2013"
"NEW-6230";"Nova funcionalidade";"OFF";"18/12/2012";"School (web)";"Novo relatório no School Web";"Robson Pacífico";29;"15/01/2013"
"BUG-6232";"Falha/erro";"OFF";"18/12/2012";"School (desktop)";"Alt + F4 para entrar no sistema";"Robson Pacífico";29;"16/01/2013"
